"word","group","F1_previous","dur_previous","F1_last","dur_last","speaker","rel_dur_prcnt","rel_F1_prcnt"
"toda=da","3","630","0.121408954","530","0.105187735","PorPorf","115.421207615127","118.867924528302"
"toda=da","3","630","0.122117215","550","0.109332289","PorPorf","111.693641573717","114.545454545455"
"toda=da","3","600","0.090170739","550","0.083932714","PorPorf","107.432173586094","109.090909090909"
"toba=da","2","670","0.145820881","580","0.130528896","PorPorf","111.71540208231","115.51724137931"
"toba=da","2","650","0.10421599","550","0.107775744","PorPorf","96.6970731373471","118.181818181818"
"toba=da","2","560","0.130468622","570","0.091569517","PorPorf","142.480408627688","98.2456140350877"
"toba=da","2","585","0.105206115","520","0.087215885","PorPorf","120.627240095081","112.5"
"x?da=da","3","630","0.116644505","540","0.07567142","PorPorf","154.146050120376","116.666666666667"
"x?da=da","3","780","0.130915479","660","0.094949374","PorPorf","137.879243943199","118.181818181818"
"x?da=da","3","700","0.120489034","600","0.076857993","PorPorf","156.768384519226","116.666666666667"
"?osta=da","3","680","0.094250144","590","0.096039613","PorPorf","98.1367386392946","115.254237288136"
"?osta=da","3","690","0.092052522","635","0.097497352","PorPorf","94.4154073025491","108.661417322835"
"?osta=da","3","600","0.084806172","585","0.080686745","PorPorf","105.105456912409","102.564102564103"
"x?da=da","3","620","0.116143203","665","0.087706629","PorPorf","132.422377104472","93.2330827067669"
"x?da=da","3","650","0.105707679","635","0.08728168","PorPorf","121.110958221702","102.362204724409"
"x?da=da","3","610","0.107833679","630","0.072375602","PorPorf","148.991754154943","96.8253968253968"
"toda=da","3","560","0.090525958","600","0.095214755","PorPorf","95.0755563042724","93.3333333333333"
"toda=da","3","590","0.11029077","555","0.099797852","PorPorf","110.514172188796","106.306306306306"
"toda=da","3","640","0.102508218","590","0.099880296","PorPorf","102.631071497826","108.474576271186"
"toda=da","3","600","0.095801436","600","0.065375185","PorPorf","146.540978813291","100"
"toda=da","3","670","0.085187718","560","0.06579663","PorPorf","129.471247995528","119.642857142857"
"?osta=da","3","610","0.069285362","585","0.083470648","PorPorf","83.005659666138","104.273504273504"
"?osta=da","3","630","0.104433832","555","0.110209105","PorPorf","94.7597133648803","113.513513513514"
"?osta=da","3","635","0.103784283","590","0.09819434","PorPorf","105.692734428481","107.627118644068"
"x?da=da","4","645","0.110610876","640","0.092658184","PorPorf","119.375182228911","100.78125"
"x?da=da","4","690","0.132347252","650","0.10482321","PorPorf","126.257583601952","106.153846153846"
"x?da=da","4","770","0.137698184","635","0.105730267","PorPorf","130.235350677777","121.259842519685"
"x?da=da","4","740","0.125360386","635","0.092967475","PorPorf","134.84327287581","116.535433070866"
"x?da=da","4","700","0.145516999","620","0.099960836","PorPorf","145.574011605905","112.903225806452"
"x?da=da","4","700","0.136755944","700","0.101530419","PorPorf","134.694552969391","100"
"jada=ta","4","630","0.141055656","690","0.096006224","PorPorf","146.923449463026","91.304347826087"
"jada=da","4","640","0.166072612","690","0.205920853","PorPorf","80.6487587733526","92.7536231884058"
"jada=da","4","655","0.14258211","670","0.148498227","PorPorf","96.0160352621584","97.7611940298508"
"toda=da","4","640","0.09805403","660","0.091299217","PorPorf","107.398544283244","96.969696969697"
"toda=da","4","630","0.124196548","635","0.102390073","PorPorf","121.297450388574","99.2125984251969"
"toda=da","4","590","0.122259669","630","0.111289881","PorPorf","109.856950067185","93.6507936507936"
"?osta=da","4","640","0.104400525","590","0.107141731","PorPorf","97.441514175275","108.474576271186"
"?osta=da","4","720","0.127708629","700","0.135985817","PorPorf","93.9131975800094","102.857142857143"
"?osta=da","4","770","0.105241729","665","0.11958317","PorPorf","88.007140971426","115.789473684211"
"taga=da","4","635","0.113585662","610","0.177729549","PorPorf","63.9092726218531","104.098360655738"
"taga=da","4","700","0.115023001","650","0.138662895","PorPorf","82.9515358092011","107.692307692308"
"taga=da","4","770","0.094356522","570","0.09274375","PorPorf","101.738954916099","135.087719298246"
"x?da=da","4","760","0.125140645","670","0.101753174","PorPorf","122.984512502775","113.432835820896"
"x?da=da","4","730","0.126048331","605","0.107272059","PorPorf","117.503413447112","120.661157024793"
"x?da=da","4","760","0.121070955","665","0.104796606","PorPorf","115.529461898795","114.285714285714"
"?osta=da","4","605","0.10249332","630","0.139535837","PorPorf","73.4530441810443","96.031746031746"
"?osta=da","4","780","0.106838474","680","0.09841283","PorPorf","108.561530036277","114.705882352941"
"?osta=da","4","760","0.097417476","640","0.111875139","PorPorf","87.0769653300721","118.75"
"x?da=da","4","610","0.117352836","600","0.08994298","PorPorf","130.474702972928","101.666666666667"
"x?da=da","4","640","0.107697984","595","0.077232057","PorPorf","139.44725569073","107.563025210084"
"x?da=da","4","750","0.094177445","600","0.077536974","PorPorf","121.461336626317","125"
"??bada","1","770","0.097129246","770","0.08939171","IrMikh","108.65576461173","100"
"??bada","1","700","0.082272192","720","0.068482822","IrMikh","120.135516611742","97.2222222222222"
"??bada","1","800","0.087146178","700","0.081129319","IrMikh","107.416380507274","114.285714285714"
"??bada","1","700","0.080622035","700","0.070904022","IrMikh","113.705869887043","100"
"??bada","1","760","0.099080835","660","0.073964647","IrMikh","133.957017330185","115.151515151515"
"??bada","1","760","0.095600997","730","0.070483445","IrMikh","135.636101498728","104.109589041096"
"abada","1","760","0.076226133","760","0.07811995","IrMikh","97.5757575369672","100"
"abada","1","800","0.098060534","810","0.10168024","IrMikh","96.4401087172886","98.7654320987654"
"abada","1","775","0.083948834","860","0.109679499","IrMikh","76.5401326277028","90.1162790697674"
"abada","1","780","0.072918472","780","0.082699619","IrMikh","88.1726819080025","100"
"abada","1","730","0.06931658","800","0.118178251","IrMikh","58.6542611804265","91.25"
"abada","1","725","0.065832597","750","0.062573896","IrMikh","105.207764272821","96.6666666666667"
"x?daba","1","790","0.088715699","770","0.085251243","IrMikh","104.063818752766","102.597402597403"
"x?daba","1","740","0.07769372","760","0.085298094","IrMikh","91.0849426483082","97.3684210526316"
"x?daba","1","730","0.082316455","740","0.065579825","IrMikh","125.521004363766","98.6486486486486"
"todaba","1","720","0.088863616","700","0.072748759","IrMikh","122.151384053163","102.857142857143"
"todaba","1","740","0.103951721","750","0.0613387","IrMikh","169.47167285906","98.6666666666667"
"todaba","1","700","0.092542386","740","0.065518562","IrMikh","141.246057872882","94.5945945945946"
"?ostaba","1","685","0.062018278","720","0.078071026","IrMikh","79.4382771401006","95.1388888888889"
"?ostaba","1","750","0.071632795","800","0.09792508","IrMikh","73.1506116716984","93.75"
"?ostaba","1","725","0.064276884","720","0.088158705","IrMikh","72.9104221755526","100.694444444444"
"tongada","1","730","0.089452199","740","0.080887627","IrMikh","110.588234959594","98.6486486486486"
